spu_code,material_name,offer_id,run_crawled_at,updated_at,n_main,n_gallery,n_detail,best_main_min_side,old_category_code,new_category_code,created_leaf_codes,cat_status,status
MG-P002641D02532,刀开关,18056760,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,31.003.005.003,31.003.005.003,,unchanged,updated
MG-P00E999158DCF,静压箱,25779127,20260710_220036,2026-07-12T07:36:26+00:00,1,3,4,800,24.009.001.001,24.009.001.001,,unchanged,updated
MG-P0138CFB0CB8E,墨汁,033234,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,04.011.001.019,04.011.001.019,,no_L1,updated
MG-P017EA52217B1,尖嘴钳,16250323,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,600,04.016.001.024,04.016.001.024,,unchanged,updated
MG-P01B1E5DD7834,循环泵,11231527,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,800,25.001.004.008,07.004.006.003,,changed,updated
MG-P022BD5422882,冷冻式干燥机,10859885,20260710_220036,2026-07-12T07:36:26+00:00,1,4,6,800,07.007.003.001,07.007.003.001,,no_L1,updated
MG-P0233B8882427,排风扇,020900,20260710_220036,2026-07-12T07:36:26+00:00,1,4,5,800,10.001.005.002,24.006.001.006,,changed,updated
MG-P026A6CE6192B,PPR内丝三通,029881,20260710_220036,2026-07-12T07:36:26+00:00,1,4,1,800,28.013.001.017,28.013.001.037,,changed,updated
MG-P02B3ADD1279B,明装闭门器,24416030,20260710_220036,2026-07-12T07:36:26+00:00,1,2,9,800,20.004.006.001,20.004.006.001,,unchanged,updated
MG-P02D78D7213F6,50龙骨,12340279,20260710_220036,2026-07-12T07:36:26+00:00,1,3,7,6112,19.008.003.001,19.008.003.001,,unchanged,updated
MG-P02D8CF0FD731,溢流阀,13934868,20260710_220036,2026-07-12T07:36:26+00:00,1,3,1,800,25.001.005.035,05.007.003.006,,changed,updated
MG-P032493D19EF5,电动割草机,24530084,20260710_220036,2026-07-12T07:36:26+00:00,1,3,5,800,04.017.002,04.017.002,,no_L1,updated
MG-P035B95681081,钢制焊接弯头,038082,20260710_220036,2026-07-12T07:36:26+00:00,1,4,5,800,30.002.003.010,30.002.003.012,30.002.003.012,changed,updated
MG-P0367D4064810,瓷砖十字架,058675,20260710_220036,2026-07-12T07:36:26+00:00,1,4,4,800,04.030,19.004.001.007,,changed,updated
