17大类,商品名,L1_code,L1_名称,L2_code,L2_名称,L3_code,L3_名称,L4_code(叶),L4_名称(叶),叶子状态,归类性质,匹配方式,置信度
木材类,柚木,19,装饰材料,19.007,地面装饰,19.007.001,木质类地板,19.007.001.003,塑木地板,现有,确实对应,直接继承,inherit
木材类,竹胶板,21,土建材料,21.004,模板,21.004.006,竹胶板,21.004.006.001,竹胶板,现有,确实对应,直接继承,inherit
家具家电类,扫地机器人,10,电器,10.003,生活电器,10.003.001,生活小家电,10.003.001.017,家用扫地机器人,现有,确实对应,直接继承,inherit
家具家电类,抽油烟机,10,电器,10.002,家用电器,10.002.006,厨房电器,10.002.006.001,油烟机,现有,确实对应,直接继承,inherit
家具家电类,洗衣机,10,电器,10.002,家用电器,10.002.004,洗衣机,10.002.004.002,滚筒洗衣机,现有,确实对应,直接继承,inherit
家具家电类,电冰箱,10,电器,10.002,家用电器,10.002.001,冰箱,10.002.001.005,三开门冰箱,现有,确实对应,直接继承,inherit
家具家电类,电视机,10,电器,10.004,显示设备,10.004.002,家用显示设备,10.004.002.001,电视机,现有,确实对应,直接继承,inherit
家具家电类,饮水机,10,电器,10.005,饮水设备,10.005.002,商用饮水设备,10.005.002.001,直饮机,现有,确实对应,直接继承,inherit
砂石料类,普通砂,18,涂料化工,18.002,墙地面,18.002.004,砂石水泥,18.002.004.001,砂子,现有,确实对应,直接继承,inherit
砂石料类,石粉,18,涂料化工,18.002,墙地面,18.002.006,粉类添加剂,18.002.006.008,滑石粉,现有,确实对应,直接继承,inherit
钢材类,镀锌钢管,30,金属管道,30.002,碳钢管道,30.002.004,镀锌钢管,30.002.004.001,镀锌管,现有,确实对应,直接继承,inherit
强弱电类,中间继电器,14,工控自动化,14.002,工业控制,14.002.008,继电器,14.002.008.002,中间继电器,现有,确实对应,直接继承,inherit
强弱电类,云母,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,12.002.003.035,柔性矿物绝缘电缆（RTTZ）,现有,确实对应,直接继承,inherit
强弱电类,交换机,14,工控自动化,14.001,工业自动化,14.001.006,工业通讯,14.001.006.001,工业以太网交换机,现有,确实对应,直接继承,inherit
强弱电类,交流接触器,14,工控自动化,14.002,工业控制,14.002.007,接触器,14.002.007.001,接触器,现有,确实对应,直接继承,inherit
强弱电类,低压电缆,13,电力穿线,13.003,金属穿线盒,13.003.001,金属穿线盒,13.003.001.004,矿用隔爆型低压接线盒,现有,确实对应,直接继承,inherit
强弱电类,信号灯,14,工控自动化,14.002,工业控制,14.002.003,信号灯,14.002.003.002,信号器,现有,确实对应,直接继承,inherit
强弱电类,变压器,31,中低压配电,31.006,电源设备,31.006.005,变压器,31.006.005.007,电源变压器,现有,确实对应,直接继承,inherit
强弱电类,吊灯,11,灯具照明,11.005,工业灯具,11.005.002,工矿灯具,11.005.002.005,塔吊灯,现有,确实对应,直接继承,inherit
强弱电类,同轴电缆,12,电线电缆,12.006,通信电缆和通信光缆,12.006.003,视频线,12.006.003.001,视频同轴电缆,现有,确实对应,直接继承,inherit
强弱电类,启辉器,11,灯具照明,11.002,光源、配件,11.002.005,灯具配件,11.002.005.001,启辉器,现有,确实对应,直接继承,inherit
强弱电类,壁灯,11,灯具照明,11.004,室外灯具,11.004.002,景观灯具,11.004.002.011,壁灯,现有,确实对应,直接继承,inherit
强弱电类,屏蔽电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.003,屏蔽线缆,12.001.003.018,控制屏蔽阻燃电缆(ZAKVVP),现有,确实对应,直接继承,inherit
强弱电类,工厂灯,11,灯具照明,11.005,工业灯具,11.005.001,防爆灯具,11.005.001.007,防爆吊灯,现有,确实对应,直接继承,inherit
强弱电类,投光灯,11,灯具照明,11.004,室外灯具,11.004.002,景观灯具,11.004.002.004,轮廊灯,现有,确实对应,直接继承,inherit
强弱电类,指示灯,14,工控自动化,14.002,工业控制,14.002.010,指示灯,14.002.010.002,指示灯附件,现有,确实对应,直接继承,inherit
强弱电类,探照灯,11,灯具照明,11.005,工业灯具,11.005.001,防爆灯具,11.005.001.010,防爆探照灯,现有,确实对应,直接继承,inherit
强弱电类,接地线,13,电力穿线,13.009,接地系统,13.009.003,防雷接地,13.009.003.004,石墨接地线,现有,确实对应,直接继承,inherit
强弱电类,接线盒,13,电力穿线,13.003,金属穿线盒,13.003.001,金属穿线盒,13.003.001.004,矿用隔爆型低压接线盒,现有,确实对应,直接继承,inherit
强弱电类,接线箱,13,电力穿线,13.002,可弯曲穿线管配件,13.002.002,普利卡金属套管连接附件,13.002.002.001,普利卡金属套管连接附件,现有,确实对应,直接继承,inherit
